id,sous_traitant_id,sous_traitant_nom,indicateur,periode,valeur,seuil_alerte,seuil_objectif,statut,tendance
KQI-243,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q1,0,1,0,OK,Stable
KQI-244,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q2,0,1,0,OK,Stable
KQI-245,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q3,0,1,0,OK,Stable
KQI-246,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2023-Q4,0,1,0,OK,Stable
KQI-247,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q1,0,1,0,OK,Stable
KQI-248,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q2,1,1,0,ALERTE,Stable
KQI-249,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q3,0,1,0,OK,Stable
KQI-250,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2024-Q4,0,1,0,OK,Stable
KQI-251,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2025-Q1,0,1,0,OK,Stable
KQI-252,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2025-Q2,0,1,0,OK,Stable
KQI-253,ST-004,Delta Clinical Logistics,Nombre de findings critiques d'audit,2025-Q3,0,1,0,OK,Stable
KQI-254,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q1,0,1,0,OK,Stable
KQI-255,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q2,0,1,0,OK,Stable
KQI-256,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q3,0,1,0,OK,Stable
KQI-257,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2023-Q4,0,1,0,OK,Stable
KQI-258,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q1,1,1,0,ALERTE,Stable
KQI-259,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q2,0,1,0,OK,Stable
KQI-260,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q3,0,1,0,OK,Stable
KQI-261,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2024-Q4,1,1,0,ALERTE,Stable
KQI-262,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2025-Q1,0,1,0,OK,Stable
KQI-263,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2025-Q2,0,1,0,OK,Stable
KQI-264,ST-004,Delta Clinical Logistics,Nombre d'événement qualité critique,2025-Q3,0,1,0,OK,Stable
